onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
283.1040000000	n/a	n/a	Fixation	n/a	n/a	S100
283.9940000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
284.6160000000	n/a	n/a	Response: Up	n/a	n/a	S  1
284.9060000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
285.4720000000	n/a	n/a	Fixation	n/a	n/a	S100
286.4960000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
287.4240000000	n/a	n/a	Response: Up	n/a	n/a	S  1
287.7240000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
288.2920000000	n/a	n/a	Fixation	n/a	n/a	S100
289.2120000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
289.8600000000	n/a	n/a	Response: Left	n/a	n/a	S  2
290.1420000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
290.7100000000	n/a	n/a	Fixation	n/a	n/a	S100
291.5720000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
292.1280000000	n/a	n/a	Response: Up	n/a	n/a	S  1
292.4620000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
293.0280000000	n/a	n/a	Fixation	n/a	n/a	S100
294.0100000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
294.5640000000	n/a	n/a	Response: Up	n/a	n/a	S  1
294.9960000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
295.5640000000	n/a	n/a	Fixation	n/a	n/a	S100
296.4340000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
296.8720000000	n/a	n/a	Response: Up	n/a	n/a	S  1
297.1480000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
297.7160000000	n/a	n/a	Fixation	n/a	n/a	S100
298.7660000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
299.3160000000	n/a	n/a	Response: Right	n/a	n/a	S  3
299.7500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
300.3180000000	n/a	n/a	Fixation	n/a	n/a	S100
301.1780000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
301.7800000000	n/a	n/a	Response: Up	n/a	n/a	S  1
302.2020000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
302.7700000000	n/a	n/a	Fixation	n/a	n/a	S100
303.6400000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
304.1960000000	n/a	n/a	Response: Left	n/a	n/a	S  2
304.4700000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
305.0380000000	n/a	n/a	Fixation	n/a	n/a	S100
305.9480000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
306.4640000000	n/a	n/a	Response: Left	n/a	n/a	S  2
306.7560000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
307.3220000000	n/a	n/a	Fixation	n/a	n/a	S100
308.3240000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
308.8920000000	n/a	n/a	Response: Right	n/a	n/a	S  3
309.1900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
309.7580000000	n/a	n/a	Fixation	n/a	n/a	S100
310.6880000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
311.2080000000	n/a	n/a	Response: Right	n/a	n/a	S  3
311.6260000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
312.1920000000	n/a	n/a	Fixation	n/a	n/a	S100
313.1640000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
313.6720000000	n/a	n/a	Response: Left	n/a	n/a	S  2
314.0280000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
314.5940000000	n/a	n/a	Fixation	n/a	n/a	S100
315.4460000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
316.0040000000	n/a	n/a	Response: Left	n/a	n/a	S  2
316.4460000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
317.0140000000	n/a	n/a	Fixation	n/a	n/a	S100
318.0640000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
318.6040000000	n/a	n/a	Response: Left	n/a	n/a	S  2
318.8980000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
319.4660000000	n/a	n/a	Fixation	n/a	n/a	S100
320.3460000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
320.9520000000	n/a	n/a	Response: Right	n/a	n/a	S  3
321.2840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
321.8500000000	n/a	n/a	Fixation	n/a	n/a	S100
322.7620000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
323.2960000000	n/a	n/a	Response: Up	n/a	n/a	S  1
323.5680000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
324.1360000000	n/a	n/a	Fixation	n/a	n/a	S100
325.0260000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
325.7200000000	n/a	n/a	Response: Right	n/a	n/a	S  3
326.1360000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
326.7040000000	n/a	n/a	Fixation	n/a	n/a	S100
327.6660000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
328.2040000000	n/a	n/a	Response: Right	n/a	n/a	S  3
328.5560000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
329.1220000000	n/a	n/a	Fixation	n/a	n/a	S100
330.1440000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
330.7680000000	n/a	n/a	Response: Right	n/a	n/a	S  3
331.0580000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
331.6240000000	n/a	n/a	Fixation	n/a	n/a	S100
332.6760000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
333.4240000000	n/a	n/a	Response: Up	n/a	n/a	S  1
333.8260000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
334.3940000000	n/a	n/a	Fixation	n/a	n/a	S100
335.3640000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
335.9800000000	n/a	n/a	Response: Up	n/a	n/a	S  1
336.3780000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
336.9460000000	n/a	n/a	Fixation	n/a	n/a	S100
